timestamp,subscriber_count_Connected,phoenix_memory_chunksize_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_chunksize_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_chunksize_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_chunksize_cm_transactionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-10-13 08:27:22.467000008,90,3072,8,127.998046875,39,4096,614,51.18359375,2188,3072,8,159.17578125,2477,4096,3,32,5
2024-10-13 08:27:23.467000008,91,3072,8,127.998046875,39,4096,617,51.18359375,2190,3072,8,159.17578125,2504,4096,3,32,5
2024-10-13 08:27:24.467000008,92,3072,8,127.998046875,39,4096,621,51.18359375,2192,3072,8,159.17578125,2531,4096,3,32,5
2024-10-13 08:27:25.467000008,93,3072,8,127.998046875,39,4096,624,51.18359375,2194,3072,8,159.17578125,2558,4096,3,32,5
2024-10-13 08:27:26.467000008,94,3072,8,127.998046875,39,4096,627,51.18359375,2196,3072,8,159.17578125,2585,4096,3,32,5
2024-10-13 08:27:27.467000008,95,3072,8,127.998046875,39,4096,631,51.18359375,2198,3072,8,159.17578125,2612,4096,3,32,5
2024-10-13 08:27:28.467000008,96,3072,8,127.998046875,39,4096,634,51.18359375,2200,3072,8,159.17578125,2639,4096,3,32,5
2024-10-13 08:27:29.467000008,97,3072,8,127.998046875,39,4096,637,51.18359375,2202,3072,8,159.17578125,2666,4096,3,32,5
2024-10-13 08:27:30.467000008,98,3072,8,127.998046875,39,4096,641,51.18359375,2204,3072,8,159.17578125,2693,4096,3,32,5
2024-10-13 08:27:31.467000008,99,3072,8,127.998046875,39,4096,644,51.18359375,2206,3072,8,159.17578125,2720,4096,3,32,5
2024-10-13 08:27:32.467000008,100,3072,8,127.998046875,39,4096,647,51.18359375,2208,3072,8,159.17578125,2747,4096,3,32,5
2024-10-13 08:27:33.467000008,101,3072,8,127.998046875,39,4096,651,51.18359375,2210,3072,8,159.17578125,2774,4096,3,32,5
2024-10-13 08:27:34.467000008,102,3072,8,127.998046875,39,4096,654,51.18359375,2212,3072,8,159.17578125,2801,4096,3,32,5
2024-10-13 08:27:35.467000008,103,3072,8,127.998046875,39,4096,657,51.18359375,2214,3072,8,159.17578125,2828,4096,3,32,5
2024-10-13 08:27:36.467000008,104,3072,8,127.998046875,39,4096,660,51.18359375,2216,3072,8,159.17578125,2855,4096,3,32,5
2024-10-13 08:27:37.467000008,105,3072,8,127.998046875,39,4096,664,51.18359375,2218,3072,8,159.17578125,2882,4096,3,32,5
2024-10-13 08:27:38.467000008,106,3072,8,127.998046875,39,4096,667,51.18359375,2220,3072,8,159.17578125,2909,4096,3,32,5
2024-10-13 08:27:39.467000008,107,3072,8,127.998046875,39,4096,670,51.18359375,2222,3072,8,159.17578125,2936,4096,3,32,5
2024-10-13 08:27:40.467000008,108,3072,8,127.998046875,39,4096,674,51.18359375,2224,3072,8,159.17578125,2963,4096,3,32,5
2024-10-13 08:27:41.467000008,109,3072,8,127.998046875,39,4096,677,51.18359375,2226,3072,8,159.17578125,2990,4096,3,32,5
2024-10-13 08:27:42.467000008,110,3072,8,127.998046875,39,4096,680,51.18359375,2228,3072,8,159.17578125,3017,4096,3,32,5
2024-10-13 08:27:43.467000008,111,3072,8,127.998046875,39,4096,684,51.18359375,2230,3072,8,159.17578125,3044,4096,3,32,5
2024-10-13 08:27:44.467000008,112,3072,8,127.998046875,39,4096,687,51.18359375,2232,3072,8,159.17578125,3071,4096,3,32,5
2024-10-13 08:27:45.467000008,113,3072,8,127.998046875,39,4096,690,51.18359375,2234,3072,8,159.17578125,3098,4096,3,32,5
2024-10-13 08:27:46.467000008,114,3072,8,127.998046875,39,4096,694,51.18359375,2236,3072,8,159.17578125,3125,4096,3,32,5
2024-10-13 08:27:47.467000008,115,3072,8,127.998046875,39,4096,697,51.18359375,2238,3072,8,159.17578125,3152,4096,3,32,5
2024-10-13 08:27:48.467000008,116,3072,8,127.998046875,39,4096,700,51.18359375,2240,3072,8,159.17578125,3179,4096,3,32,5
2024-10-13 08:27:49.467000008,117,3072,8,127.998046875,39,4096,704,51.18359375,2242,3072,8,159.17578125,3206,4096,3,32,5
2024-10-13 08:27:50.467000008,118,3072,8,127.998046875,39,4096,707,51.18359375,2244,3072,8,159.17578125,3233,4096,3,32,5
2024-10-13 08:27:51.467000008,119,3072,8,127.998046875,39,4096,710,51.18359375,2246,3072,8,159.17578125,3260,4096,3,32,5
2024-10-13 08:27:52.467000008,120,3072,8,127.998046875,39,4096,714,51.18359375,2248,3072,8,159.17578125,3287,4096,3,32,5
2024-10-13 08:27:53.467000008,121,3072,8,127.998046875,39,4096,717,51.18359375,2250,3072,8,159.17578125,3314,4096,3,32,5
2024-10-13 08:27:54.467000008,122,3072,8,127.998046875,39,4096,720,51.18359375,2252,3072,8,159.17578125,3341,4096,3,32,5
2024-10-13 08:27:55.467000008,123,3072,8,127.998046875,39,4096,724,51.18359375,2254,3072,8,159.17578125,3368,4096,3,32,5
2024-10-13 08:27:56.467000008,124,3072,8,127.998046875,39,4096,727,51.18359375,2256,3072,8,159.17578125,3395,4096,3,32,5
2024-10-13 08:27:57.467000008,125,3072,8,127.998046875,39,4096,730,51.18359375,2258,3072,8,159.17578125,3422,4096,3,32,5
2024-10-13 08:27:58.467000008,126,3072,8,127.998046875,39,4096,734,51.18359375,2260,3072,8,159.17578125,3449,4096,3,32,5
2024-10-13 08:27:59.467000008,127,3072,8,127.998046875,39,4096,737,51.18359375,2262,3072,8,159.17578125,3476,4096,3,32,5
2024-10-13 08:28:00.467000008,128,3072,8,127.998046875,39,4096,740,51.18359375,2264,3072,8,159.17578125,3503,4096,3,32,5
2024-10-13 08:28:01.467000008,129,3072,8,127.998046875,39,4096,744,51.18359375,2266,3072,8,159.17578125,3530,4096,3,32,5
2024-10-13 08:28:02.467000008,130,3072,8,127.998046875,39,4096,747,51.18359375,2268,3072,8,159.17578125,3557,4096,3,32,5
2024-10-13 08:28:03.467000008,131,3072,8,127.998046875,39,4096,750,51.18359375,2270,3072,8,159.17578125,3584,4096,3,32,5
